price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
25.8,"KL City, Kuala Lumpur",Women's Bags | Shoulder Bags | Shoulder Bags,1081 PU SLING BAG KULIT leather Casual Beg Tangan Wanita women Shoulder Wallet Purse Travel READY STOCK QQF WHOLESALE,4.9,qqfwholesale,12.9
1.41,,Home Appliances | Sewing Machines | Sewing Machines and Accessories,Stat Chinese Traditional Frog Buttons Knot Cheongsam Frog Buckle Sewing Fasteners,5,stationery.my,0.75
8.5,"KL City, Kuala Lumpur",Women's Bags | Handbags | Set Handbags,N09 READY STOCK MYFOOYIN woman handbag set 2in1 sling bag,4.9,fooyin88,8.5
3999.0,"KL City, Kuala Lumpur",Cameras & Drones | DSLR Cameras | DSLRs,Canon EOS 70D 18-55mm IS STM Original+64gb+extra battery original (MADE IN JAPAN)3 years Warranty,5,xpro.gadget,2739.0
2950.0,,Cameras & Drones | Others | Others,"Atomos Ninja Cast Stand-Alone Switcher, Multiview Monitor And Broadcast Quality Recorder (Ninja V + AtomX CAST)",No ratings yet,cameravalley,2950.0
0.49,,Mobile & Accessories | Cases & Covers | Mobile Pouches,Mobile Phone Smartphone Powerbank Soft Pouch Bag Cover Water Resistant with String.Ready Stock KL ship out within 24hour,4.9,orangetechnology,0.49
11.0,"KL City, Kuala Lumpur",Men Clothes | Traditional Wear | Bottoms,Fashion Men's Sheer Thong Low Rise Stretch G-String T-Back Briefs,5,mrbunny.my,5.5
599.0,"KL City, Kuala Lumpur",Mobile & Accessories | Cool Gadgets | Stylus,Apple Pencil (2nd Generation),4.9,switch_os,449.0
5.0,"KL City, Kuala Lumpur",Mobile & Accessories | Cables & Chargers | Docks,1PCS Universal Adjustable Multi-functional Stand Holder Cradle Folding Portable Stand Support Mobile phone accessories,4.9,yutianying3.my,0.99
39.9,"KL City, Kuala Lumpur",Men's Bags & Wallets | Messenger Bags | Messenger Bags,Sports Messenger Sling Bag Shoulder Bag Crossbody Bag,4.9,hnkk8896,39.9
33.0,,Watches | Others,JAM TANGAN MURAH GSHOCKK DW6900 DIGITAL - JAM TANGAN LELAKI DAN WANITA MURAH,4.9,miroshi_ent.my12,33.0
0.44,,Health & Beauty | Fragrances | Gift Set & Sampler,VIRAL Perfum Mini Harga Bawah Pasaran Online Hot Selling Mini Perfume Sample 2ml (Random),4.9,siowgogo,0.44
228.0,"KL City, Kuala Lumpur",Baby & Toys | Baby & Toddler Play | Indoor Climber & Play Structure,🤩SHOCKING PROMO🤩 TOYS STREET INDOOR OUTDOOR CAR TOON SWING  & SLIDE & MUSIC WITH BASKETBALL PLAYGROUND SET,4.9,toysstreet,198.0
8.99,,Men Clothes | Innerwear | Undershirts,Men Slimming Slim Singlet Vest Belt Slim n Body Fit Shaper,4.8,setiaborongsales,8.99
138.25,"KL City, Kuala Lumpur",Men Clothes | Sleepwear & Pajamas | Pajama Set,【Ready Stock】❀ nightwear Pasangan flanel musim sejuk satu keping piyama lelaki dan wanita menebal doraemon bulu karang jingle pencinta kucing,5,gejiaomaoyi2.my,69.13
0.25,,Home & Living | Kitchen Storage | Food Storage & Dispensers,⚡️READY STOCK⚡️ BALANG 180ML KUIH/BALANG KUEH/BALANG RAYA PLASTIK,5,choonkeat90,0.25
557.0,,Health & Beauty | Eye Care | Eye Cream & Serum,Estee Lauder Advanced Night Repair Eye Supercharged Gel-Crème Synchronized Multi-Recovery Eye Cream 15ml  (2pcs),4.9,nanamall.os,330.6
17.8,,Groceries & Pets | Alcoholic Beverages | Others,Good Day Soju - Lychee (360ml),5,elegantlyred.os,17.8
,,Home Appliances | Cooling & Heating | Fans,GOOJODOQ Desk Folding Fan Multipurpose Portable USB Fan Handheld Rechargeable Desk Cooling Fan,4.9,goojodoqshop.my,3.9
15.98,"KL City, Kuala Lumpur",Mobile & Accessories | Cables & Chargers | iPhone Cables,Baseus USB Charger 2.4A Fast Charging Data USB Cable for iPhone 13 mini pro Max 11 Xr X 8 7 Plus Apple iPad Charger USB Cable,4.9,baseuscar.os,7.74
5.2,,Home Appliances | Large Kitchen Appliances | Refrigerators,[ Top Quality ] Fridge Relay Overload PTC Starter Refrigerator Freezer Peti Ais Sejuk Minibar Compressor 1Pin 2Pin 3Pin,4.9,aw_team,5.2
0.65,,Home Appliances | Sewing Machines | Sewing Machines and Accessories,Size #5 NYLON Zipper by Yard Rainbow Nylon Zip Rainbow Zipper Nylon Coil Zipper Bag Zip Beg *Zip Potong* OR Zip Head,5,sewingstore,0.65
0.15,,Fashion Accessories | More Accessories | Keychains & Lanyard,(Min. 50pcs) 4cm Keychain Cute Suitable For Free Gift Murah Borong Mini Keychains Lanyard Keychain Murah Cheap Key Chain,4.9,sumohome.os,0.1
1.0,,Men Clothes | T-shirts & Singlets | T-Shirts,CUSTOM MADE TSHIRT PRINTING ! READ DESCRIPTION BEFORE ORDERING ! PRE-ORDER ! NO MINIMUM ORDER !,4.8,sales.printjc,1.0
33.9,"KL City, Kuala Lumpur",Women Clothes | Skirts | Others,Fashflow - Aretha Wrap Skirt | Plain Wrapped Skirt,4.9,fashflowstore.my,33.9
10.0,"KL City, Kuala Lumpur",Men Clothes | Suits | Suit Sets,KADET UNIFORM PUTERI ISLAM ( LENGAN PANJANG ) - K008LS,5,pywholesales,10.0
98.0,"KL City, Kuala Lumpur",Men Clothes | Sets | Occupational Attire,💥NEW STYLE💥 BAJU SCRUB MEDICAL SCRUB SUIT Doctor 's Scrub FOR MAN & WOMEN / TOP+PANTS,4.9,manwei.my,37.8
