price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
25.8,"KL City, Kuala Lumpur",Shopee | Women's Bags | Shoulder Bags | Shoulder Bags,1081 PU SLING BAG KULIT leather Casual Beg Tangan Wanita women Shoulder Wallet Purse Travel READY STOCK QQF WHOLESALE | Shopee Malaysia,4.9,qqfwholesale,12.9
1.41,,Shopee | Home Appliances | Sewing Machines | Sewing Machines and Accessories,Stat Chinese Traditional Frog Buttons Knot Cheongsam Frog Buckle Sewing Fasteners | Shopee Malaysia,5,stationery.my,0.75
8.5,"KL City, Kuala Lumpur",Shopee | Women's Bags | Handbags | Set Handbags,N09 READY STOCK MYFOOYIN woman handbag set 2in1 sling bag | Shopee Malaysia,4.9,fooyin88,8.5
8.7,,Shopee | Women Clothes | Maternity Wear | Innerwear,🔥Shocking Sale🔥Cotton Comfort Nursing Bra Breastfeeding Bra For Pregnancy Women Maternity Underwear B2 衣服 女装 内衣 文胸 | Shopee Malaysia,4.9,vivi2002,8.7
3999,"KL City, Kuala Lumpur",Shopee | Cameras & Drones | DSLR Cameras | DSLRs,Canon EOS 70D 18-55mm IS STM Original+64gb+extra battery original (MADE IN JAPAN)3 years Warranty | Shopee Malaysia,5,xpro.gadget,2739
2950,,Shopee | Cameras & Drones | Others | Others,"Atomos Ninja Cast Stand-Alone Switcher, Multiview Monitor And Broadcast Quality Recorder (Ninja V + AtomX CAST) | Shopee Malaysia",No ratings yet,cameravalley,2950
19,"KL City, Kuala Lumpur",Shopee | Others | Fengshui & Religious Supplies,贺加福 （新）九品莲花大悲咒/30.5cmX30.5cm/正背彩色/莲花纸/1包6色/1色20张/1包总共120张 | Shopee Malaysia,5,hokarhock,19
0.49,,Shopee | Mobile & Accessories | Cases & Covers | Mobile Pouches,Mobile Phone Smartphone Powerbank Soft Pouch Bag Cover Water Resistant with String.Ready Stock KL ship out within 24hour | Shopee Malaysia,4.9,orangetechnology,0.49
11,"KL City, Kuala Lumpur",Shopee | Men Clothes | Traditional Wear | Bottoms,Fashion Men's Sheer Thong Low Rise Stretch G-String T-Back Briefs | Shopee Malaysia,5,mrbunny.my,5.5
599,"KL City, Kuala Lumpur",Shopee | Mobile & Accessories | Cool Gadgets | Stylus,Apple Pencil (2nd Generation) | Shopee Malaysia,4.9,switch_os,449
5,"KL City, Kuala Lumpur",Shopee | Mobile & Accessories | Cables & Chargers | Docks,1PCS Universal Adjustable Multi-functional Stand Holder Cradle Folding Portable Stand Support Mobile phone accessories | Shopee Malaysia,4.9,yutianying3.my,0.99
39.9,"KL City, Kuala Lumpur",Shopee | Men's Bags & Wallets | Messenger Bags | Messenger Bags,Sports Messenger Sling Bag Shoulder Bag Crossbody Bag | Shopee Malaysia,4.9,hnkk8896,39.9
33,,Shopee | Watches | Others,JAM TANGAN MURAH GSHOCKK DW6900 DIGITAL - JAM TANGAN LELAKI DAN WANITA MURAH | Shopee Malaysia,4.9,miroshi_ent.my12,33
0.44,,Shopee | Health & Beauty | Fragrances | Gift Set & Sampler,VIRAL Perfum Mini Harga Bawah Pasaran Online Hot Selling Mini Perfume Sample 2ml (Random) | Shopee Malaysia,4.9,siowgogo,0.44
228,"KL City, Kuala Lumpur",Shopee | Baby & Toys | Baby & Toddler Play | Indoor Climber & Play Structure,🤩SHOCKING PROMO🤩 TOYS STREET INDOOR OUTDOOR CAR TOON SWING  & SLIDE & MUSIC WITH BASKETBALL PLAYGROUND SET | Shopee Malaysia,4.9,toysstreet,198
8.99,,Shopee | Men Clothes | Innerwear | Undershirts,Men Slimming Slim Singlet Vest Belt Slim n Body Fit Shaper | Shopee Malaysia,4.8,setiaborongsales,8.99
138.25,"KL City, Kuala Lumpur",Shopee | Men Clothes | Sleepwear & Pajamas | Pajama Set,【Ready Stock】❀ nightwear Pasangan flanel musim sejuk satu keping piyama lelaki dan wanita menebal doraemon bulu karang jingle pencinta kucing | Shopee Malaysia,5,gejiaomaoyi2.my,69.13
0.1,,Shopee | Home & Living | Stationery | Writing Utensils,HERMAN - (1Pcs) 0.05mm Gel Pen Ball Point Student Office Stationary 中性笔 水笔 圆珠笔 | Shopee Malaysia,4.9,herman.my,0.1
0.25,,Shopee | Home & Living | Kitchen Storage | Food Storage & Dispensers,⚡️READY STOCK⚡️ BALANG 180ML KUIH/BALANG KUEH/BALANG RAYA PLASTIK | Shopee Malaysia,5,choonkeat90,0.25
557,,Shopee | Health & Beauty | Eye Care | Eye Cream & Serum,Estee Lauder Advanced Night Repair Eye Supercharged Gel-Crème Synchronized Multi-Recovery Eye Cream 15ml  (2pcs) | Shopee Malaysia,4.9,nanamall.os,330.6
17.8,,Shopee | Groceries & Pets | Alcoholic Beverages | Others,Good Day Soju - Lychee (360ml) | Shopee Malaysia,5,elegantlyred.os,17.8
,,Shopee | Home Appliances | Cooling & Heating | Fans,GOOJODOQ Desk Folding Fan Multipurpose Portable USB Fan Handheld Rechargeable Desk Cooling Fan | Shopee Malaysia,4.9,goojodoqshop.my,3.9
15.98,"KL City, Kuala Lumpur",Shopee | Mobile & Accessories | Cables & Chargers | iPhone Cables,Baseus USB Charger 2.4A Fast Charging Data USB Cable for iPhone 13 mini pro Max 11 Xr X 8 7 Plus Apple iPad Charger USB Cable | Shopee Malaysia,4.9,baseuscar.os,7.74
5.2,,Shopee | Home Appliances | Large Kitchen Appliances | Refrigerators,[ Top Quality ] Fridge Relay Overload PTC Starter Refrigerator Freezer Peti Ais Sejuk Minibar Compressor 1Pin 2Pin 3Pin | Shopee Malaysia,4.9,aw_team,5.2
0.65,,Shopee | Home Appliances | Sewing Machines | Sewing Machines and Accessories,Size #5 NYLON Zipper by Yard Rainbow Nylon Zip Rainbow Zipper Nylon Coil Zipper Bag Zip Beg *Zip Potong* OR Zip Head | Shopee Malaysia,5,sewingstore,0.65
0.15,,Shopee | Fashion Accessories | More Accessories | Keychains & Lanyard,(Min. 50pcs) 4cm Keychain Cute Suitable For Free Gift Murah Borong Mini Keychains Lanyard Keychain Murah Cheap Key Chain | Shopee Malaysia,4.9,sumohome.os,0.1
1,,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts,CUSTOM MADE TSHIRT PRINTING ! READ DESCRIPTION BEFORE ORDERING ! PRE-ORDER ! NO MINIMUM ORDER ! | Shopee Malaysia,4.8,sales.printjc,1
6,,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts,Men's Seamless Ice Silk Short-sleeved T-shirt Casual Breathable Quick-drying Top 男士纯色冰丝短袖T恤 | Shopee Malaysia,4.7,akolyong.my,2.7
33.9,"KL City, Kuala Lumpur",Shopee | Women Clothes | Skirts | Others,Fashflow - Aretha Wrap Skirt | Plain Wrapped Skirt | Shopee Malaysia,4.9,fashflowstore.my,33.9
10,"KL City, Kuala Lumpur",Shopee | Men Clothes | Suits | Suit Sets,KADET UNIFORM PUTERI ISLAM ( LENGAN PANJANG ) - K008LS | Shopee Malaysia,5,pywholesales,10
98,"KL City, Kuala Lumpur",Shopee | Men Clothes | Sets | Occupational Attire,💥NEW STYLE💥 BAJU SCRUB MEDICAL SCRUB SUIT Doctor 's Scrub FOR MAN & WOMEN / TOP+PANTS | Shopee Malaysia,4.9,manwei.my,37.8
48,,Shopee | Women Clothes | Skirts | Others,2 in 1 primary school uniform skirt 一件式校裙A LEVEL | Shopee Malaysia,4.9,victorialofi,48
2,,Shopee | Home Appliances | Televisions | Antennas,TV AERIAL DIGITAL ANTENNA PLUG / SOCKET CONNECTOR ADAPTER COAXIAL PLUG / COAXIAL SOCKET (1000868/0870) | Shopee Malaysia,5,zhernhong_eletronik,2
55,"KL City, Kuala Lumpur",Shopee | Home & Living | Home Decor | Curtains & Blinds,Ready stock Door Window Blackout Curtain langsir Theral Solid Window Curtain Star Curtain | Shopee Malaysia,4.9,kk_gift,34.1
119,,Shopee | Home Appliances | Large Kitchen Appliances | Water Dispensers & Purifiers,KONKA Water Purifier Easy To Install Penapis Air Washable Filters (4 Pcs) | Shopee Malaysia,4.9,konka_direct.os,56.05
3.5,,Shopee | Baby & Toys | Feeding & Nursing | Teethers & Pacifiers,LAKOE Baby Puting Nipple for Wide Neck Bottle Pigeon pacifier Replacement Baby Silicone Pacifier Bayi Susu Bottle | Shopee Malaysia,4.9,lakoeofficialstore,1.26
